zip,cbsa,cbsa_title,urban_area,ua_title
95549,21700,"Eureka-Arcata, CA",NA,NA
95550,21700,"Eureka-Arcata, CA",NA,NA
95551,21700,"Eureka-Arcata, CA",28198,"Eureka, CA"
95552,99999,NA,NA,NA
95553,21700,"Eureka-Arcata, CA",NA,NA
95554,21700,"Eureka-Arcata, CA",NA,NA
95555,21700,"Eureka-Arcata, CA",NA,NA
95556,21700,"Eureka-Arcata, CA",NA,NA
95558,21700,"Eureka-Arcata, CA",NA,NA
95559,21700,"Eureka-Arcata, CA",NA,NA
95560,21700,"Eureka-Arcata, CA",NA,NA
95562,21700,"Eureka-Arcata, CA",NA,NA
95563,99999,NA,NA,NA
95564,21700,"Eureka-Arcata, CA",28198,"Eureka, CA"
95565,21700,"Eureka-Arcata, CA",NA,NA
95567,18860,"Crescent City, CA",NA,NA
95568,99999,NA,NA,NA
95569,21700,"Eureka-Arcata, CA",NA,NA
95570,21700,"Eureka-Arcata, CA",NA,NA
95571,21700,"Eureka-Arcata, CA",NA,NA
95573,21700,"Eureka-Arcata, CA",NA,NA
95585,46380,"Ukiah, CA",NA,NA
95587,21700,"Eureka-Arcata, CA",NA,NA
95589,21700,"Eureka-Arcata, CA",NA,NA
95595,99999,NA,NA,NA
95601,99999,NA,42049,"Jackson, CA"
95602,40900,"Sacramento-Roseville-Folsom, CA",04130,"Auburn, CA"
95603,40900,"Sacramento-Roseville-Folsom, CA",04130,"Auburn, CA"
95604,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95605,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95606,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95607,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95608,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95609,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95610,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95611,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95612,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95613,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95614,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95615,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95616,40900,"Sacramento-Roseville-Folsom, CA",22420,"Davis, CA"
95617,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95618,40900,"Sacramento-Roseville-Folsom, CA",22420,"Davis, CA"
95619,40900,"Sacramento-Roseville-Folsom, CA",69832,"Placerville--Diamond Springs, CA"
95620,46700,"Vallejo, CA",24283,"Dixon, CA"
95621,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95623,40900,"Sacramento-Roseville-Folsom, CA",69832,"Placerville--Diamond Springs, CA"
95624,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95625,46700,"Vallejo, CA",NA,NA
95626,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95627,40900,"Sacramento-Roseville-Folsom, CA",NA,NA
95628,40900,"Sacramento-Roseville-Folsom, CA",77068,"Sacramento, CA"
95629,99999,NA,NA,NA
